Column1,Column2,channel_title,username,comment_text,emotion
xqdXSA8hNI4,"KINGDOM Official Trailer | Vijay Deverakonda, Satya Dev, Bhagyashrii | Anirudh | Gowtam Tinnanuri",Sithara Entertainments,@MENDENARESH-es4sx,వర్రెస్ట్ తూ,anger
xqdXSA8hNI4,"KINGDOM Official Trailer | Vijay Deverakonda, Satya Dev, Bhagyashrii | Anirudh | Gowtam Tinnanuri",Sithara Entertainments,@bharathdraxchannel,మన కోల్పోయిన కుటుంబాన్ని అపవాదు చేసే మీ చిత్రానికి అభినందనలు.,neutral
xqdXSA8hNI4,"KINGDOM Official Trailer | Vijay Deverakonda, Satya Dev, Bhagyashrii | Anirudh | Gowtam Tinnanuri",Sithara Entertainments,@sureshmarimuthu2580,ఈ సినిమా చాలా చెత్తగా ఉంది.😂😂😂😂,anger
xqdXSA8hNI4,"KINGDOM Official Trailer | Vijay Deverakonda, Satya Dev, Bhagyashrii | Anirudh | Gowtam Tinnanuri",Sithara Entertainments,@prahaladanature,ఇది zandubomb సినిమా చూడవలసిన అవసరము లేదు,anger
xqdXSA8hNI4,"KINGDOM Official Trailer | Vijay Deverakonda, Satya Dev, Bhagyashrii | Anirudh | Gowtam Tinnanuri",Sithara Entertainments,@SrinivasKorne,"ఎవడ్రా ఈ స్టోరీ రాసింది ✍️ వాళ్ళ అన్న కోసం అన్ని వదిలేసి వెళ్ళిన వాడు , ఎలాగైనా అది సాధించాలి కదరా. అసలు వీడు అక్కడికి వెళ్లకుండా ఉండి ఉన్న వాళ్ళ అన్న తో పాటు చాలా మంది బ్రతికేవాళ్ళు.",neutral
xqdXSA8hNI4,"KINGDOM Official Trailer | Vijay Deverakonda, Satya Dev, Bhagyashrii | Anirudh | Gowtam Tinnanuri",Sithara Entertainments,@Vlgculture,వార్సుస్ట్ మూవీ.. ఓ రేంజ్ లో ఎక్స్పర్ట్ చేశాను... సో బ్యాడ్..,anger
l8qlUDRSaTU,Coolie - Official Telugu Trailer | Superstar Rajinikanth | Sun Pictures | Lokesh | Anirudh,Gemini TV,@antony2302,ఏంటి కూలీ సినిమా లో హీరో రజనీకాంత్ హ.. నేను ఇన్ని రోజులు కూలీ Power star పవన్ కళ్యాణ్ అనుకున్న 😂😂,neutral
l8qlUDRSaTU,Coolie - Official Telugu Trailer | Superstar Rajinikanth | Sun Pictures | Lokesh | Anirudh,Gemini TV,@nagapadmagolla7426,రాజనీకాంత్ ఫాన్స్ assemble,neutral
l8qlUDRSaTU,Coolie - Official Telugu Trailer | Superstar Rajinikanth | Sun Pictures | Lokesh | Anirudh,Gemini TV,@bellamkondachannel9048,ట్రైలర్ ఇంతా లాగ్ లా ఉంది సినిమా ఎంత,neutral
l8qlUDRSaTU,Coolie - Official Telugu Trailer | Superstar Rajinikanth | Sun Pictures | Lokesh | Anirudh,Gemini TV,@bhaskar1619,సూపర్ మూవీ 😂,happiness
l8qlUDRSaTU,Coolie - Official Telugu Trailer | Superstar Rajinikanth | Sun Pictures | Lokesh | Anirudh,Gemini TV,#NAME?,2:20 శివ నాగార్జున comeing ❤కింగ్ ❤❤❤❤ఫాన్స్ ఎక్కడ like,neutral
l8qlUDRSaTU,Coolie - Official Telugu Trailer | Superstar Rajinikanth | Sun Pictures | Lokesh | Anirudh,Gemini TV,@VasuNakka-y7d1e,కార్తి కూతురు అని ముందే ఎంతమందికి తెలుసు,neutral
l8qlUDRSaTU,Coolie - Official Telugu Trailer | Superstar Rajinikanth | Sun Pictures | Lokesh | Anirudh,Gemini TV,@madhutelugu3411,బ్లాక్ బస్టర్ లోడింగ్ 🔥🔥🔥🔥,happiness
l8qlUDRSaTU,Coolie - Official Telugu Trailer | Superstar Rajinikanth | Sun Pictures | Lokesh | Anirudh,Gemini TV,@im_die_hard_fan_of_me,0:57 అది విక్రమ్ కమల్ హాసన్ LCU,neutral
l8qlUDRSaTU,Coolie - Official Telugu Trailer | Superstar Rajinikanth | Sun Pictures | Lokesh | Anirudh,Gemini TV,@ParameshwarK-i6c,Akkada unnadi రజినీకాంత్.. రా. పైగా BGM అనిరుద్.. అంతే,neutral
l8qlUDRSaTU,Coolie - Official Telugu Trailer | Superstar Rajinikanth | Sun Pictures | Lokesh | Anirudh,Gemini TV,@VillageBoyRajuDM,రజినీకాంత్ గారి ఫ్యాన్స్ ఒక లైక్ వేసుకోండి❤,neutral
l8qlUDRSaTU,Coolie - Official Telugu Trailer | Superstar Rajinikanth | Sun Pictures | Lokesh | Anirudh,Gemini TV,@VillageBoyRajuDM,నాగార్జునగారి యాక్టింగ్ నచ్చినవాళ్ళు ఎంతమంది❤❤,neutral
l8qlUDRSaTU,Coolie - Official Telugu Trailer | Superstar Rajinikanth | Sun Pictures | Lokesh | Anirudh,Gemini TV,@ajprakash407,"నాకుఐతే ఎవడినో hide చేసారు మూవీలో reveal చేస్తారు, వాడే universal star kamal sir",neutral
l8qlUDRSaTU,Coolie - Official Telugu Trailer | Superstar Rajinikanth | Sun Pictures | Lokesh | Anirudh,Gemini TV,@ashokgongi8717,ఖైదీ లో వున్న కార్తీ కుతురే... ఇక్కడ ఉన్న శృతిహాసన్,neutral
l8qlUDRSaTU,Coolie - Official Telugu Trailer | Superstar Rajinikanth | Sun Pictures | Lokesh | Anirudh,Gemini TV,@DhoniMS-o6g,Waiting lokesh ఫిల్మ్ kosamu🎉,neutral
6VmJ_VCjCG0,Avatar: Fire and Ash | Official Telugu Trailer | In Cinemas December 19,20th Century Studios India,@devalingamvenkataramana4478,జై సుధీర్ అన్న 🔥🔥🔥,happiness
6VmJ_VCjCG0,Avatar: Fire and Ash | Official Telugu Trailer | In Cinemas December 19,20th Century Studios India,@Ursraju_18,జై సుడిగాలి సుధీర్ ❤,happiness
6VmJ_VCjCG0,Avatar: Fire and Ash | Official Telugu Trailer | In Cinemas December 19,20th Century Studios India,@KalvalaPrabhakar,మరో ప్రపంచంలోకి ఇగ 🥰🥰🔥🔥🔥,neutral
6VmJ_VCjCG0,Avatar: Fire and Ash | Official Telugu Trailer | In Cinemas December 19,20th Century Studios India,@harivarmafromkonaseema,త్వరగా release చేయండ్రా బాబు చచ్చిపోయేలా ఉన్నాం❤❤,neutral
6VmJ_VCjCG0,Avatar: Fire and Ash | Official Telugu Trailer | In Cinemas December 19,20th Century Studios India,@nagannafreefireTelugugaming,👌👌👌🥰🥰🥰❤️❤️ Telugu dubbing super అబ్బా మూవీ బాగుంది,happiness
6VmJ_VCjCG0,Avatar: Fire and Ash | Official Telugu Trailer | In Cinemas December 19,20th Century Studios India,@naveenbabu5751,"జేమ్స్ కెమెరాన్ గారి టెర్మినేటర్ 2, టైటానిక్ ట్రూలైజ్ మూవీస్ కూడా రీ రిలీజ్ 4కెలో రిలీజ్ అయితే బాగుంటుంది ✨",neutral
6VmJ_VCjCG0,Avatar: Fire and Ash | Official Telugu Trailer | In Cinemas December 19,20th Century Studios India,@naveenbabu5751,"నా లైఫ్ లో నేను చూసిన అత్యంత అద్భుతమైన వ్యక్తి జేమ్స్ కెమెరూన్ నాన్నగారు చిన్నప్పుడు టెర్మినేటర్ 2 టైటానిక్,ట్రూ లైస్ మూవీకి తీసుకెళ్ళినప్పుడు జేమ్స్ కెమెరూన్ ఎవరో తెలియదు కానీ ఇప్పుడు తెలిసి చాలా గర్వపడుతున్నా ✨🦾",surprise
